,GID,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,GAME_DATE_EST,HOME_TEAM_WINS,HOME_TEAM_LOSSES,SERIES_LEADER,SEASON
113,0020800114,0020800114,1610612764,1610612762,2008-11-12T00:00:00,1,1,Tied,2008-2009
114,0020800115,0020800115,1610612746,1610612758,2008-11-12T00:00:00,1,3,Sacramento,2008-2009
115,0020800116,0020800116,1610612756,1610612745,2008-11-12T00:00:00,1,2,Houston,2008-2009
116,0020800117,0020800117,1610612739,1610612743,2008-11-13T00:00:00,2,0,Cleveland,2008-2009
117,0020800118,0020800118,1610612741,1610612742,2008-11-13T00:00:00,1,1,Tied,2008-2009
118,0020800119,0020800119,1610612744,1610612765,2008-11-13T00:00:00,0,2,Detroit,2008-2009
119,0020800120,0020800120,1610612766,1610612762,2008-11-14T00:00:00,1,1,Tied,2008-2009
120,0020800121,0020800121,1610612754,1610612755,2008-11-14T00:00:00,2,2,Tied,2008-2009
121,0020800122,0020800122,1610612748,1610612764,2008-11-14T00:00:00,4,0,Miami,2008-2009
122,0020800123,0020800123,1610612751,1610612737,2008-11-14T00:00:00,3,1,New Jersey,2008-2009
123,0020800124,0020800124,1610612752,1610612760,2008-11-14T00:00:00,1,1,Tied,2008-2009
124,0020800125,0020800125,1610612738,1610612743,2008-11-14T00:00:00,1,1,Tied,2008-2009
125,0020800126,0020800126,1610612763,1610612749,2008-11-14T00:00:00,1,1,Tied,2008-2009
126,0020800127,0020800127,1610612740,1610612757,2008-11-14T00:00:00,2,2,Tied,2008-2009
127,0020800128,0020800128,1610612742,1610612753,2008-11-14T00:00:00,1,1,Tied,2008-2009
128,0020800129,0020800129,1610612759,1610612745,2008-11-14T00:00:00,2,2,Tied,2008-2009
129,0020800130,0020800130,1610612758,1610612756,2008-11-14T00:00:00,1,3,Phoenix,2008-2009
130,0020800131,0020800131,1610612747,1610612765,2008-11-14T00:00:00,1,1,Tied,2008-2009
131,0020800132,0020800132,1610612746,1610612744,2008-11-15T00:00:00,1,3,Golden State,2008-2009
132,0020800133,0020800133,1610612737,1610612751,2008-11-15T00:00:00,1,3,New Jersey,2008-2009
133,0020800134,0020800134,1610612755,1610612760,2008-11-15T00:00:00,1,1,Tied,2008-2009
134,0020800135,0020800135,1610612739,1610612762,2008-11-15T00:00:00,2,0,Cleveland,2008-2009
135,0020800136,0020800136,1610612750,1610612757,2008-11-15T00:00:00,0,4,Portland,2008-2009
136,0020800137,0020800137,1610612741,1610612754,2008-11-15T00:00:00,2,2,Tied,2008-2009
137,0020800138,0020800138,1610612745,1610612740,2008-11-15T00:00:00,3,1,Houston,2008-2009
138,0020800139,0020800139,1610612749,1610612738,2008-11-15T00:00:00,1,2,Boston,2008-2009
139,0020800140,0020800140,1610612761,1610612748,2008-11-16T00:00:00,2,1,Toronto,2008-2009
140,0020800141,0020800141,1610612766,1610612753,2008-11-16T00:00:00,0,4,Orlando,2008-2009
141,0020800142,0020800142,1610612752,1610612742,2008-11-16T00:00:00,0,2,Dallas,2008-2009
142,0020800143,0020800143,1610612743,1610612750,2008-11-16T00:00:00,4,0,Denver,2008-2009
143,0020800144,0020800144,1610612756,1610612765,2008-11-16T00:00:00,2,0,Phoenix,2008-2009
144,0020800145,0020800145,1610612758,1610612759,2008-11-16T00:00:00,0,3,San Antonio,2008-2009
145,0020800146,0020800146,1610612760,1610612745,2008-11-17T00:00:00,0,3,Houston,2008-2009
146,0020800147,0020800147,1610612762,1610612756,2008-11-17T00:00:00,2,2,Tied,2008-2009
147,0020800148,0020800148,1610612746,1610612759,2008-11-17T00:00:00,0,4,San Antonio,2008-2009
148,0020800149,0020800149,1610612766,1610612742,2008-11-18T00:00:00,0,2,Dallas,2008-2009
149,0020800150,0020800150,1610612754,1610612737,2008-11-18T00:00:00,1,3,Atlanta,2008-2009
150,0020800151,0020800151,1610612753,1610612761,2008-11-18T00:00:00,2,2,Tied,2008-2009
151,0020800152,0020800152,1610612764,1610612748,2008-11-18T00:00:00,0,4,Miami,2008-2009
152,0020800153,0020800153,1610612738,1610612752,2008-11-18T00:00:00,3,1,Boston,2008-2009
153,0020800154,0020800154,1610612751,1610612739,2008-11-18T00:00:00,0,3,Cleveland,2008-2009
154,0020800155,0020800155,1610612763,1610612758,2008-11-18T00:00:00,2,2,Tied,2008-2009
155,0020800156,0020800156,1610612743,1610612749,2008-11-18T00:00:00,1,1,Tied,2008-2009
156,0020800157,0020800157,1610612744,1610612757,2008-11-18T00:00:00,2,1,Golden State,2008-2009
157,0020800158,0020800158,1610612747,1610612741,2008-11-18T00:00:00,2,0,L.A. Lakers,2008-2009
158,0020800159,0020800159,1610612737,1610612764,2008-11-19T00:00:00,4,0,Atlanta,2008-2009
159,0020800160,0020800160,1610612765,1610612739,2008-11-19T00:00:00,1,3,Cleveland,2008-2009
160,0020800161,0020800161,1610612748,1610612761,2008-11-19T00:00:00,1,2,Toronto,2008-2009
161,0020800162,0020800162,1610612745,1610612742,2008-11-19T00:00:00,2,2,Tied,2008-2009
162,0020800163,0020800163,1610612750,1610612755,2008-11-19T00:00:00,1,1,Tied,2008-2009
163,0020800164,0020800164,1610612740,1610612758,2008-11-19T00:00:00,3,1,New Orleans,2008-2009
164,0020800165,0020800165,1610612760,1610612746,2008-11-19T00:00:00,1,3,L.A. Clippers,2008-2009
165,0020800166,0020800166,1610612759,1610612743,2008-11-19T00:00:00,1,2,Denver,2008-2009
166,0020800167,0020800167,1610612762,1610612749,2008-11-19T00:00:00,1,1,Tied,2008-2009
167,0020800168,0020800168,1610612757,1610612741,2008-11-19T00:00:00,2,0,Portland,2008-2009
168,0020800169,0020800169,1610612738,1610612765,2008-11-20T00:00:00,3,1,Boston,2008-2009
169,0020800170,0020800170,1610612756,1610612747,2008-11-20T00:00:00,1,3,L.A. Lakers,2008-2009
170,0020800171,0020800171,1610612754,1610612753,2008-11-21T00:00:00,1,3,Orlando,2008-2009
171,0020800172,0020800172,1610612755,1610612746,2008-11-21T00:00:00,2,0,Philadelphia,2008-2009
172,0020800173,0020800173,1610612761,1610612751,2008-11-21T00:00:00,2,2,Tied,2008-2009
173,0020800174,0020800174,1610612764,1610612745,2008-11-21T00:00:00,1,1,Tied,2008-2009
174,0020800175,0020800175,1610612737,1610612766,2008-11-21T00:00:00,3,1,Atlanta,2008-2009
175,0020800176,0020800176,1610612750,1610612738,2008-11-21T00:00:00,0,2,Boston,2008-2009
176,0020800177,0020800177,1610612742,1610612763,2008-11-21T00:00:00,2,2,Tied,2008-2009
177,0020800178,0020800178,1610612749,1610612752,2008-11-21T00:00:00,3,1,Milwaukee,2008-2009
178,0020800179,0020800179,1610612759,1610612762,2008-11-21T00:00:00,3,0,San Antonio,2008-2009
179,0020800180,0020800180,1610612760,1610612740,2008-11-21T00:00:00,0,4,New Orleans,2008-2009
180,0020800181,0020800181,1610612758,1610612757,2008-11-21T00:00:00,0,3,Portland,2008-2009
181,0020800182,0020800182,1610612744,1610612741,2008-11-21T00:00:00,0,2,Chicago,2008-2009
182,0020800183,0020800183,1610612747,1610612743,2008-11-21T00:00:00,3,1,L.A. Lakers,2008-2009
183,0020800184,0020800184,1610612766,1610612749,2008-11-22T00:00:00,1,3,Milwaukee,2008-2009
184,0020800185,0020800185,1610612753,1610612745,2008-11-22T00:00:00,0,2,Houston,2008-2009
185,0020800186,0020800186,1610612739,1610612737,2008-11-22T00:00:00,3,1,Cleveland,2008-2009
186,0020800187,0020800187,1610612748,1610612754,2008-11-22T00:00:00,1,2,Indiana,2008-2009
187,0020800188,0020800188,1610612751,1610612746,2008-11-22T00:00:00,1,1,Tied,2008-2009
188,0020800189,0020800189,1610612752,1610612764,2008-11-22T00:00:00,3,1,New York,2008-2009
189,0020800190,0020800190,1610612763,1610612762,2008-11-22T00:00:00,0,4,Utah,2008-2009
190,0020800191,0020800191,1610612740,1610612760,2008-11-22T00:00:00,4,0,New Orleans,2008-2009
191,0020800192,0020800192,1610612756,1610612757,2008-11-22T00:00:00,2,2,Tied,2008-2009
192,0020800193,0020800193,1610612761,1610612738,2008-11-23T00:00:00,0,4,Boston,2008-2009
193,0020800194,0020800194,1610612755,1610612744,2008-11-23T00:00:00,1,1,Tied,2008-2009
194,0020800195,0020800195,1610612765,1610612750,2008-11-23T00:00:00,1,1,Tied,2008-2009
195,0020800196,0020800196,1610612743,1610612741,2008-11-23T00:00:00,1,1,Tied,2008-2009
196,0020800197,0020800197,1610612747,1610612758,2008-11-23T00:00:00,3,1,L.A. Lakers,2008-2009
197,0020800198,0020800198,1610612766,1610612755,2008-11-24T00:00:00,3,1,Charlotte,2008-2009
198,0020800199,0020800199,1610612753,1610612749,2008-11-24T00:00:00,3,1,Orlando,2008-2009
199,0020800200,0020800200,1610612748,1610612745,2008-11-24T00:00:00,0,2,Houston,2008-2009
200,0020800201,0020800201,1610612763,1610612759,2008-11-24T00:00:00,0,4,San Antonio,2008-2009
201,0020800202,0020800202,1610612762,1610612741,2008-11-24T00:00:00,0,2,Chicago,2008-2009
202,0020800203,0020800203,1610612757,1610612758,2008-11-24T00:00:00,3,0,Portland,2008-2009
203,0020800204,0020800204,1610612746,1610612740,2008-11-24T00:00:00,0,3,New Orleans,2008-2009
204,0020800205,0020800205,1610612764,1610612744,2008-11-25T00:00:00,1,1,Tied,2008-2009
205,0020800206,0020800206,1610612752,1610612739,2008-11-25T00:00:00,0,4,Cleveland,2008-2009
206,0020800207,0020800207,1610612760,1610612756,2008-11-25T00:00:00,0,4,Phoenix,2008-2009
207,0020800208,0020800208,1610612742,1610612754,2008-11-25T00:00:00,2,0,Dallas,2008-2009
208,0020800209,0020800209,1610612747,1610612751,2008-11-25T00:00:00,2,0,L.A. Lakers,2008-2009
209,0020800210,0020800210,1610612737,1610612749,2008-11-26T00:00:00,3,1,Atlanta,2008-2009
210,0020800211,0020800211,1610612739,1610612760,2008-11-26T00:00:00,2,0,Cleveland,2008-2009
211,0020800212,0020800212,1610612761,1610612766,2008-11-26T00:00:00,2,2,Tied,2008-2009
212,0020800213,0020800213,1610612738,1610612744,2008-11-26T00:00:00,1,1,Tied,2008-2009
213,0020800214,0020800214,1610612755,1610612753,2008-11-26T00:00:00,0,3,Orlando,2008-2009
214,0020800215,0020800215,1610612765,1610612752,2008-11-26T00:00:00,2,2,Tied,2008-2009
215,0020800216,0020800216,1610612750,1610612756,2008-11-26T00:00:00,1,2,Phoenix,2008-2009
216,0020800217,0020800217,1610612745,1610612754,2008-11-26T00:00:00,0,2,Indiana,2008-2009
217,0020800218,0020800218,1610612759,1610612741,2008-11-26T00:00:00,2,0,San Antonio,2008-2009
