,GID,GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,GAME_STATUS_ID,GAME_STATUS_TEXT,GAMECODE,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,LIVE_PERIOD,LIVE_PC_TIME,NATL_TV_BROADCASTER_ABBREVIATION,LIVE_PERIOD_TIME_BCAST,WH_STATUS
52,0020800053,2008-11-05T00:00:00,3,0020800053,3,Final,20081105/PHIMIA,1610612748,1610612755,2008-2009,4, ,,Q4   - ,1
53,0020800054,2008-11-05T00:00:00,4,0020800054,3,Final,20081105/CHANYK,1610612752,1610612766,2008-2009,4, ,,Q4   - ,1
54,0020800055,2008-11-05T00:00:00,5,0020800055,3,Final,20081105/CHICLE,1610612739,1610612741,2008-2009,4, ,ESPN,Q4   - ESPN,1
55,0020800056,2008-11-05T00:00:00,6,0020800056,3,Final,20081105/WASMIL,1610612749,1610612764,2008-2009,5, ,,Q5   - ,1
56,0020800057,2008-11-05T00:00:00,7,0020800057,3,Final,20081105/SASMIN,1610612750,1610612759,2008-2009,6, ,,Q6   - ,1
57,0020800058,2008-11-05T00:00:00,8,0020800058,3,Final,20081105/ATLNOH,1610612740,1610612737,2008-2009,4, ,,Q4   - ,1
58,0020800059,2008-11-05T00:00:00,9,0020800059,3,Final,20081105/BOSOKC,1610612760,1610612738,2008-2009,4, ,,Q4   - ,1
59,0020800060,2008-11-05T00:00:00,10,0020800060,3,Final,20081105/PORUTA,1610612762,1610612757,2008-2009,4, ,,Q4   - ,1
60,0020800061,2008-11-05T00:00:00,11,0020800061,3,Final,20081105/MEMSAC,1610612758,1610612763,2008-2009,4, ,,Q4   - ,1
61,0020800062,2008-11-05T00:00:00,12,0020800062,3,Final,20081105/DENGSW,1610612744,1610612743,2008-2009,4, ,ESPN,Q4   - ESPN,1
62,0020800063,2008-11-05T00:00:00,13,0020800063,3,Final,20081105/LACLAL,1610612747,1610612746,2008-2009,4, ,,Q4   - ,1
63,0020800064,2008-11-06T00:00:00,1,0020800064,3,Final,20081106/PHIORL,1610612753,1610612755,2008-2009,4, ,TNT,Q4   - TNT,1
64,0020800065,2008-11-06T00:00:00,2,0020800065,3,Final,20081106/HOUPOR,1610612757,1610612745,2008-2009,5, ,TNT,Q5   - TNT,1
65,0020800066,2008-11-07T00:00:00,1,0020800066,3,Final,20081107/NOHCHA,1610612766,1610612740,2008-2009,4, ,,Q4   - ,1
66,0020800067,2008-11-07T00:00:00,2,0020800067,3,Final,20081107/NYKWAS,1610612764,1610612752,2008-2009,4, ,,Q4   - ,1
67,0020800068,2008-11-07T00:00:00,3,0020800068,3,Final,20081107/TORATL,1610612737,1610612761,2008-2009,4, ,,Q4   - ,1
68,0020800069,2008-11-07T00:00:00,4,0020800069,3,Final,20081107/MILBOS,1610612738,1610612749,2008-2009,4, ,,Q4   - ,1
69,0020800070,2008-11-07T00:00:00,5,0020800070,3,Final,20081107/INDCLE,1610612739,1610612754,2008-2009,4, ,,Q4   - ,1
70,0020800071,2008-11-07T00:00:00,6,0020800071,3,Final,20081107/DETNJN,1610612751,1610612765,2008-2009,4, ,,Q4   - ,1
71,0020800072,2008-11-07T00:00:00,7,0020800072,3,Final,20081107/MIASAS,1610612759,1610612748,2008-2009,4, ,ESPN,Q4   - ESPN,1
72,0020800073,2008-11-07T00:00:00,8,0020800073,3,Final,20081107/PHXCHI,1610612741,1610612756,2008-2009,4, ,,Q4   - ,1
73,0020800074,2008-11-07T00:00:00,9,0020800074,3,Final,20081107/OKCUTA,1610612762,1610612760,2008-2009,4, ,,Q4   - ,1
74,0020800075,2008-11-07T00:00:00,10,0020800075,3,Final,20081107/MINSAC,1610612758,1610612750,2008-2009,4, ,,Q4   - ,1
75,0020800076,2008-11-07T00:00:00,11,0020800076,3,Final,20081107/DALDEN,1610612743,1610612742,2008-2009,4, ,ESPN,Q4   - ESPN,1
76,0020800077,2008-11-07T00:00:00,12,0020800077,3,Final,20081107/MEMGSW,1610612744,1610612763,2008-2009,4, ,,Q4   - ,1
77,0020800078,2008-11-07T00:00:00,13,0020800078,3,Final,20081107/HOULAC,1610612746,1610612745,2008-2009,4, ,,Q4   - ,1
78,0020800079,2008-11-08T00:00:00,1,0020800079,3,Final,20081108/NJNIND,1610612754,1610612751,2008-2009,4, ,,Q4   - ,1
79,0020800080,2008-11-08T00:00:00,2,0020800080,3,Final,20081108/WASORL,1610612753,1610612764,2008-2009,4, ,,Q4   - ,1
80,0020800081,2008-11-08T00:00:00,3,0020800081,3,Final,20081108/MIANOH,1610612740,1610612748,2008-2009,4, ,NBA TV,Q4   - NBA TV,1
81,0020800082,2008-11-08T00:00:00,4,0020800082,3,Final,20081108/CLECHI,1610612741,1610612739,2008-2009,4, ,,Q4   - ,1
82,0020800083,2008-11-08T00:00:00,5,0020800083,3,Final,20081108/PHXMIL,1610612749,1610612756,2008-2009,4, ,,Q4   - ,1
