,GID,GAME_ID,HOME_TEAM_ID,VISITOR_TEAM_ID,GAME_DATE_EST,HOME_TEAM_WINS,HOME_TEAM_LOSSES,SERIES_LEADER,SEASON
109,0029100110,0029100110,1610612764,1610612762,1991-11-16T00:00:00,0,2,Utah,1991-1992
110,0029100111,0029100111,1610612743,1610612757,1991-11-16T00:00:00,1,3,Portland,1991-1992
111,0029100112,0029100112,1610612746,1610612744,1991-11-16T00:00:00,2,3,Golden State,1991-1992
112,0029100113,0029100113,1610612765,1610612755,1991-11-16T00:00:00,3,1,Detroit,1991-1992
113,0029100114,0029100114,1610612753,1610612751,1991-11-16T00:00:00,1,3,New Jersey,1991-1992
114,0029100115,0029100115,1610612766,1610612738,1991-11-16T00:00:00,1,3,Boston,1991-1992
115,0029100116,0029100116,1610612742,1610612756,1991-11-16T00:00:00,2,2,Tied,1991-1992
116,0029100117,0029100117,1610612750,1610612760,1991-11-17T00:00:00,0,4,Seattle,1991-1992
117,0029100118,0029100118,1610612747,1610612737,1991-11-17T00:00:00,2,0,L.A. Lakers,1991-1992
118,0029100119,0029100119,1610612754,1610612765,1991-11-18T00:00:00,2,2,Tied,1991-1992
119,0029100120,0029100120,1610612764,1610612760,1991-11-19T00:00:00,0,2,Seattle,1991-1992
120,0029100121,0029100121,1610612748,1610612762,1991-11-19T00:00:00,1,1,Tied,1991-1992
121,0029100122,0029100122,1610612745,1610612752,1991-11-19T00:00:00,1,1,Tied,1991-1992
122,0029100123,0029100123,1610612743,1610612742,1991-11-19T00:00:00,2,3,Dallas,1991-1992
123,0029100124,0029100124,1610612751,1610612758,1991-11-19T00:00:00,1,1,Tied,1991-1992
124,0029100125,0029100125,1610612757,1610612746,1991-11-19T00:00:00,3,2,Portland,1991-1992
125,0029100126,0029100126,1610612749,1610612766,1991-11-19T00:00:00,3,2,Milwaukee,1991-1992
126,0029100127,0029100127,1610612747,1610612756,1991-11-19T00:00:00,2,3,Phoenix,1991-1992
127,0029100128,0029100128,1610612766,1610612739,1991-11-20T00:00:00,2,3,Cleveland,1991-1992
128,0029100129,0029100129,1610612737,1610612758,1991-11-20T00:00:00,1,1,Tied,1991-1992
129,0029100130,0029100130,1610612742,1610612752,1991-11-20T00:00:00,0,2,New York,1991-1992
130,0029100131,0029100131,1610612756,1610612743,1991-11-20T00:00:00,3,1,Phoenix,1991-1992
131,0029100132,0029100132,1610612744,1610612741,1991-11-20T00:00:00,1,1,Tied,1991-1992
132,0029100133,0029100133,1610612755,1610612748,1991-11-20T00:00:00,4,1,Philadelphia,1991-1992
133,0029100134,0029100134,1610612759,1610612750,1991-11-20T00:00:00,6,0,San Antonio,1991-1992
134,0029100135,0029100135,1610612753,1610612762,1991-11-20T00:00:00,0,2,Utah,1991-1992
135,0029100136,0029100136,1610612738,1610612754,1991-11-20T00:00:00,2,2,Tied,1991-1992
136,0029100137,0029100137,1610612765,1610612760,1991-11-20T00:00:00,1,1,Tied,1991-1992
137,0029100138,0029100138,1610612746,1610612757,1991-11-21T00:00:00,2,3,Portland,1991-1992
138,0029100139,0029100139,1610612745,1610612750,1991-11-21T00:00:00,3,2,Houston,1991-1992
139,0029100140,0029100140,1610612749,1610612764,1991-11-21T00:00:00,3,1,Milwaukee,1991-1992
140,0029100141,0029100141,1610612739,1610612751,1991-11-21T00:00:00,2,2,Tied,1991-1992
141,0029100142,0029100142,1610612748,1610612758,1991-11-22T00:00:00,2,0,Miami,1991-1992
142,0029100143,0029100143,1610612760,1610612741,1991-11-22T00:00:00,0,2,Chicago,1991-1992
143,0029100144,0029100144,1610612762,1610612743,1991-11-22T00:00:00,5,1,Utah,1991-1992
144,0029100145,0029100145,1610612757,1610612744,1991-11-22T00:00:00,3,2,Portland,1991-1992
145,0029100146,0029100146,1610612756,1610612746,1991-11-22T00:00:00,2,3,L.A. Clippers,1991-1992
146,0029100147,0029100147,1610612747,1610612759,1991-11-22T00:00:00,1,3,San Antonio,1991-1992
147,0029100148,0029100148,1610612755,1610612737,1991-11-22T00:00:00,2,2,Tied,1991-1992
148,0029100149,0029100149,1610612766,1610612754,1991-11-22T00:00:00,3,2,Charlotte,1991-1992
149,0029100150,0029100150,1610612765,1610612752,1991-11-22T00:00:00,2,2,Tied,1991-1992
150,0029100151,0029100151,1610612752,1610612755,1991-11-23T00:00:00,3,1,New York,1991-1992
151,0029100152,0029100152,1610612750,1610612745,1991-11-23T00:00:00,2,3,Houston,1991-1992
152,0029100153,0029100153,1610612754,1610612748,1991-11-23T00:00:00,3,1,Indiana,1991-1992
153,0029100154,0029100154,1610612751,1610612738,1991-11-23T00:00:00,3,2,New Jersey,1991-1992
154,0029100155,0029100155,1610612764,1610612737,1991-11-23T00:00:00,2,2,Tied,1991-1992
155,0029100156,0029100156,1610612742,1610612762,1991-11-23T00:00:00,1,4,Utah,1991-1992
156,0029100157,0029100157,1610612753,1610612758,1991-11-23T00:00:00,0,2,Sacramento,1991-1992
157,0029100158,0029100158,1610612739,1610612765,1991-11-23T00:00:00,3,1,Cleveland,1991-1992
158,0029100159,0029100159,1610612743,1610612741,1991-11-23T00:00:00,0,2,Chicago,1991-1992
159,0029100160,0029100160,1610612744,1610612749,1991-11-23T00:00:00,2,0,Golden State,1991-1992
160,0029100161,0029100161,1610612747,1610612749,1991-11-24T00:00:00,1,1,Tied,1991-1992
161,0029100162,0029100162,1610612757,1610612759,1991-11-24T00:00:00,2,2,Tied,1991-1992
162,0029100163,0029100163,1610612746,1610612760,1991-11-24T00:00:00,2,3,Seattle,1991-1992
163,0029100164,0029100164,1610612738,1610612764,1991-11-25T00:00:00,3,1,Boston,1991-1992
164,0029100165,0029100165,1610612755,1610612739,1991-11-26T00:00:00,0,4,Cleveland,1991-1992
165,0029100166,0029100166,1610612752,1610612748,1991-11-26T00:00:00,4,1,New York,1991-1992
166,0029100167,0029100167,1610612737,1610612765,1991-11-26T00:00:00,1,4,Detroit,1991-1992
167,0029100168,0029100168,1610612760,1610612744,1991-11-26T00:00:00,2,3,Golden State,1991-1992
168,0029100169,0029100169,1610612758,1610612756,1991-11-26T00:00:00,1,4,Phoenix,1991-1992
169,0029100170,0029100170,1610612743,1610612766,1991-11-26T00:00:00,1,1,Tied,1991-1992
170,0029100171,0029100171,1610612745,1610612751,1991-11-26T00:00:00,1,1,Tied,1991-1992
171,0029100172,0029100172,1610612757,1610612749,1991-11-26T00:00:00,2,0,Portland,1991-1992
172,0029100173,0029100173,1610612746,1610612741,1991-11-26T00:00:00,0,2,Chicago,1991-1992
173,0029100174,0029100174,1610612753,1610612747,1991-11-26T00:00:00,0,2,L.A. Lakers,1991-1992
174,0029100175,0029100175,1610612765,1610612737,1991-11-27T00:00:00,4,1,Detroit,1991-1992
175,0029100176,0029100176,1610612762,1610612766,1991-11-27T00:00:00,2,0,Utah,1991-1992
176,0029100177,0029100177,1610612756,1610612758,1991-11-27T00:00:00,4,1,Phoenix,1991-1992
177,0029100178,0029100178,1610612759,1610612751,1991-11-27T00:00:00,1,1,Tied,1991-1992
178,0029100179,0029100179,1610612738,1610612753,1991-11-27T00:00:00,5,0,Boston,1991-1992
179,0029100180,0029100180,1610612748,1610612747,1991-11-27T00:00:00,0,2,L.A. Lakers,1991-1992
180,0029100181,0029100181,1610612742,1610612754,1991-11-27T00:00:00,1,1,Tied,1991-1992
181,0029100182,0029100182,1610612750,1610612743,1991-11-27T00:00:00,3,2,Minnesota,1991-1992
182,0029100183,0029100183,1610612739,1610612755,1991-11-27T00:00:00,4,0,Cleveland,1991-1992
183,0029100184,0029100184,1610612746,1610612764,1991-11-29T00:00:00,0,2,Washington,1991-1992
184,0029100185,0029100185,1610612757,1610612741,1991-11-29T00:00:00,0,2,Chicago,1991-1992
185,0029100186,0029100186,1610612739,1610612753,1991-11-29T00:00:00,3,1,Cleveland,1991-1992
186,0029100187,0029100187,1610612754,1610612745,1991-11-29T00:00:00,1,1,Tied,1991-1992
187,0029100188,0029100188,1610612762,1610612744,1991-11-29T00:00:00,3,1,Utah,1991-1992
188,0029100189,0029100189,1610612738,1610612747,1991-11-29T00:00:00,2,0,Boston,1991-1992
189,0029100190,0029100190,1610612756,1610612766,1991-11-29T00:00:00,1,1,Tied,1991-1992
190,0029100191,0029100191,1610612743,1610612760,1991-11-29T00:00:00,1,3,Seattle,1991-1992
191,0029100192,0029100192,1610612742,1610612751,1991-11-29T00:00:00,0,2,New Jersey,1991-1992
192,0029100193,0029100193,1610612737,1610612759,1991-11-29T00:00:00,0,2,San Antonio,1991-1992
193,0029100194,0029100194,1610612748,1610612755,1991-11-29T00:00:00,1,4,Philadelphia,1991-1992
194,0029100195,0029100195,1610612753,1610612748,1991-11-30T00:00:00,1,3,Miami,1991-1992
195,0029100196,0029100196,1610612752,1610612765,1991-11-30T00:00:00,2,2,Tied,1991-1992
196,0029100197,0029100197,1610612742,1610612750,1991-11-30T00:00:00,3,2,Dallas,1991-1992
197,0029100198,0029100198,1610612756,1610612762,1991-11-30T00:00:00,2,2,Tied,1991-1992
198,0029100199,0029100199,1610612759,1610612760,1991-11-30T00:00:00,3,1,San Antonio,1991-1992
199,0029100200,0029100200,1610612758,1610612741,1991-11-30T00:00:00,0,2,Chicago,1991-1992
200,0029100201,0029100201,1610612746,1610612766,1991-11-30T00:00:00,2,0,L.A. Clippers,1991-1992
201,0029100202,0029100202,1610612743,1610612751,1991-11-30T00:00:00,1,1,Tied,1991-1992
202,0029100203,0029100203,1610612749,1610612754,1991-11-30T00:00:00,1,4,Indiana,1991-1992
203,0029100204,0029100204,1610612755,1610612747,1991-11-30T00:00:00,0,2,L.A. Lakers,1991-1992
204,0029100205,0029100205,1610612737,1610612738,1991-11-30T00:00:00,3,1,Atlanta,1991-1992
205,0029100206,0029100206,1610612765,1610612745,1991-12-01T00:00:00,2,0,Detroit,1991-1992
206,0029100207,0029100207,1610612757,1610612764,1991-12-01T00:00:00,2,0,Portland,1991-1992
207,0029100208,0029100208,1610612766,1610612752,1991-12-02T00:00:00,0,4,New York,1991-1992
208,0029100209,0029100209,1610612765,1610612754,1991-12-03T00:00:00,2,2,Tied,1991-1992
209,0029100210,0029100210,1610612750,1610612756,1991-12-03T00:00:00,0,4,Phoenix,1991-1992
210,0029100211,0029100211,1610612760,1610612764,1991-12-03T00:00:00,2,0,Seattle,1991-1992
211,0029100212,0029100212,1610612745,1610612743,1991-12-03T00:00:00,3,2,Houston,1991-1992
212,0029100213,0029100213,1610612758,1610612759,1991-12-03T00:00:00,1,3,San Antonio,1991-1992
213,0029100214,0029100214,1610612751,1610612755,1991-12-03T00:00:00,3,2,New Jersey,1991-1992
214,0029100215,0029100215,1610612749,1610612747,1991-12-03T00:00:00,1,1,Tied,1991-1992
215,0029100216,0029100216,1610612742,1610612737,1991-12-03T00:00:00,0,2,Atlanta,1991-1992
216,0029100217,0029100217,1610612748,1610612757,1991-12-03T00:00:00,0,2,Portland,1991-1992
217,0029100218,0029100218,1610612744,1610612762,1991-12-03T00:00:00,1,3,Utah,1991-1992
218,0029100219,0029100219,1610612754,1610612756,1991-12-04T00:00:00,1,1,Tied,1991-1992
219,0029100220,0029100220,1610612766,1610612747,1991-12-04T00:00:00,1,1,Tied,1991-1992
220,0029100221,0029100221,1610612762,1610612764,1991-12-04T00:00:00,2,0,Utah,1991-1992
221,0029100222,0029100222,1610612746,1610612759,1991-12-04T00:00:00,2,2,Tied,1991-1992
222,0029100223,0029100223,1610612741,1610612739,1991-12-04T00:00:00,3,2,Chicago,1991-1992
223,0029100224,0029100224,1610612753,1610612757,1991-12-04T00:00:00,0,2,Portland,1991-1992
224,0029100225,0029100225,1610612738,1610612748,1991-12-04T00:00:00,3,2,Boston,1991-1992
225,0029100226,0029100226,1610612765,1610612739,1991-12-05T00:00:00,1,3,Cleveland,1991-1992
226,0029100227,0029100227,1610612749,1610612751,1991-12-05T00:00:00,0,4,New Jersey,1991-1992
227,0029100228,0029100228,1610612745,1610612737,1991-12-05T00:00:00,0,2,Atlanta,1991-1992
228,0029100229,0029100229,1610612744,1610612742,1991-12-05T00:00:00,4,0,Golden State,1991-1992
229,0029100230,0029100230,1610612760,1610612750,1991-12-06T00:00:00,4,0,Seattle,1991-1992
230,0029100231,0029100231,1610612759,1610612762,1991-12-06T00:00:00,1,4,Utah,1991-1992
231,0029100232,0029100232,1610612754,1610612749,1991-12-06T00:00:00,4,1,Indiana,1991-1992
232,0029100233,0029100233,1610612755,1610612757,1991-12-06T00:00:00,1,1,Tied,1991-1992
233,0029100234,0029100234,1610612764,1610612765,1991-12-06T00:00:00,1,3,Detroit,1991-1992
234,0029100235,0029100235,1610612751,1610612747,1991-12-06T00:00:00,0,2,L.A. Lakers,1991-1992
235,0029100236,0029100236,1610612741,1610612766,1991-12-06T00:00:00,4,0,Chicago,1991-1992
236,0029100237,0029100237,1610612753,1610612756,1991-12-06T00:00:00,0,2,Phoenix,1991-1992
237,0029100238,0029100238,1610612743,1610612746,1991-12-06T00:00:00,0,4,L.A. Clippers,1991-1992
238,0029100239,0029100239,1610612738,1610612752,1991-12-06T00:00:00,3,2,Boston,1991-1992
239,0029100240,0029100240,1610612754,1610612757,1991-12-07T00:00:00,0,2,Portland,1991-1992
240,0029100241,0029100241,1610612739,1610612764,1991-12-07T00:00:00,4,0,Cleveland,1991-1992
241,0029100242,0029100242,1610612737,1610612752,1991-12-07T00:00:00,2,2,Tied,1991-1992
242,0029100243,0029100243,1610612753,1610612766,1991-12-07T00:00:00,1,3,Charlotte,1991-1992
243,0029100244,0029100244,1610612744,1610612758,1991-12-07T00:00:00,5,0,Golden State,1991-1992
244,0029100245,0029100245,1610612760,1610612742,1991-12-07T00:00:00,4,0,Seattle,1991-1992
245,0029100246,0029100246,1610612755,1610612741,1991-12-07T00:00:00,1,3,Chicago,1991-1992
246,0029100247,0029100247,1610612745,1610612762,1991-12-07T00:00:00,1,4,Utah,1991-1992
247,0029100248,0029100248,1610612746,1610612750,1991-12-07T00:00:00,4,0,L.A. Clippers,1991-1992
248,0029100249,0029100249,1610612748,1610612756,1991-12-07T00:00:00,0,2,Phoenix,1991-1992
249,0029100250,0029100250,1610612749,1610612759,1991-12-08T00:00:00,1,1,Tied,1991-1992
250,0029100251,0029100251,1610612747,1610612742,1991-12-08T00:00:00,4,0,L.A. Lakers,1991-1992
251,0029100252,0029100252,1610612738,1610612743,1991-12-09T00:00:00,1,1,Tied,1991-1992
252,0029100253,0029100253,1610612741,1610612760,1991-12-10T00:00:00,2,0,Chicago,1991-1992
253,0029100254,0029100254,1610612756,1610612765,1991-12-10T00:00:00,2,0,Phoenix,1991-1992
254,0029100255,0029100255,1610612754,1610612759,1991-12-10T00:00:00,2,0,Indiana,1991-1992
255,0029100256,0029100256,1610612751,1610612752,1991-12-10T00:00:00,2,3,New York,1991-1992
256,0029100257,0029100257,1610612762,1610612753,1991-12-10T00:00:00,2,0,Utah,1991-1992
257,0029100258,0029100258,1610612757,1610612745,1991-12-10T00:00:00,1,3,Houston,1991-1992
258,0029100259,0029100259,1610612737,1610612749,1991-12-10T00:00:00,3,1,Atlanta,1991-1992
259,0029100260,0029100260,1610612744,1610612746,1991-12-10T00:00:00,3,2,Golden State,1991-1992
260,0029100261,0029100261,1610612742,1610612748,1991-12-10T00:00:00,1,1,Tied,1991-1992
261,0029100262,0029100262,1610612758,1610612747,1991-12-10T00:00:00,1,4,L.A. Lakers,1991-1992
262,0029100263,0029100263,1610612747,1610612762,1991-12-11T00:00:00,1,3,Utah,1991-1992
263,0029100264,0029100264,1610612750,1610612759,1991-12-11T00:00:00,0,6,San Antonio,1991-1992
264,0029100265,0029100265,1610612766,1610612742,1991-12-11T00:00:00,1,1,Tied,1991-1992
265,0029100266,0029100266,1610612752,1610612760,1991-12-11T00:00:00,2,0,New York,1991-1992
266,0029100267,0029100267,1610612748,1610612739,1991-12-11T00:00:00,1,3,Cleveland,1991-1992
267,0029100268,0029100268,1610612746,1610612765,1991-12-11T00:00:00,2,0,L.A. Clippers,1991-1992
268,0029100269,0029100269,1610612755,1610612743,1991-12-11T00:00:00,0,2,Denver,1991-1992
