,GID,OFFICIAL_ID,FIRST_NAME,LAST_NAME,JERSEY_NUM,SEASON
3536,0021001179,1201,Leon,Wood,40,2010-2011
3537,0021001179,201639,Josh,Tiven,58,2010-2011
3538,0021001180,1662,Bill,Kennedy,55,2010-2011
3539,0021001180,2002,Derrick,Collins,11,2010-2011
3540,0021001180,202007,Nick,Buchert,54,2010-2011
3541,0021001181,1146,Tony,Brothers,25,2010-2011
3542,0021001181,2532,Eli,Roe,44,2010-2011
3543,0021001181,1159,Kevin,Fehr,7,2010-2011
3544,0021001182,1162,Scott,Foster,48,2010-2011
3545,0021001182,2005,Matt,Boland,46,2010-2011
3546,0021001182,101283,Brian,Forte,45,2010-2011
3547,0021001183,2530,Ed,Malloy,14,2010-2011
3548,0021001183,2004,Courtney,Kirkland,61,2010-2011
3549,0021001183,200834,Mark,Lindsay,53,2010-2011
3550,0021001184,1147,Mike,Callahan,24,2010-2011
3551,0021001184,1188,Leroy,Richardson,20,2010-2011
3552,0021001184,2882,Sean,Wright,65,2010-2011
3553,0021001185,2715,Eric,Lewis,42,2010-2011
3554,0021001185,1194,Bill,Spooner,22,2010-2011
3555,0021001185,101284,John,Goble,30,2010-2011
3556,0021001186,1195,Derrick,Stafford,9,2010-2011
3557,0021001186,2001,Jason,Phillips,23,2010-2011
3558,0021001186,200833,Eric,Dalen,75,2010-2011
3559,0021001187,1168,David,Jones,36,2010-2011
3560,0021001187,1192,Bennett,Salvatore,15,2010-2011
3561,0021001187,1185,Violet,Palmer,12,2010-2011
3562,0021001188,1174,Ken,Mauer,41,2010-2011
3563,0021001188,2714,David,Guthrie,16,2010-2011
3564,0021001188,201246,Kevin,Cutler,34,2010-2011
3565,0021001189,1200,Greg,Willard,57,2010-2011
3566,0021001189,2716,Olandis,Poole,50,2010-2011
3567,0021001189,201638,Brent,Barnaky,70,2010-2011
3568,0021001190,1164,Ron,Garretson,10,2010-2011
3569,0021001190,2004,Courtney,Kirkland,61,2010-2011
3570,0021001190,201640,Kane,Fitzgerald,35,2010-2011
3571,0021001191,2148,Mark,Ayotte,56,2010-2011
3572,0021001191,101284,John,Goble,30,2010-2011
3573,0021001191,1154,Bob,Delaney,26,2010-2011
3574,0021001192,1195,Derrick,Stafford,9,2010-2011
3575,0021001192,1664,Gary,Zielinski,59,2010-2011
3576,0021001192,200833,Eric,Dalen,75,2010-2011
3577,0021001193,1147,Mike,Callahan,24,2010-2011
3578,0021001193,2001,Jason,Phillips,23,2010-2011
3579,0021001193,2529,Tony,Brown,6,2010-2011
3580,0021001194,1152,Dan,Crawford,43,2010-2011
3581,0021001194,1146,Tony,Brothers,25,2010-2011
3582,0021001194,1193,Michael,Smith,38,2010-2011
3583,0021001195,1662,Bill,Kennedy,55,2010-2011
3584,0021001195,1179,Rodney,Mott,71,2010-2011
3585,0021001195,201246,Kevin,Cutler,34,2010-2011
3586,0021001196,2534,Zach,Zarba,33,2010-2011
3587,0021001196,2532,Eli,Roe,44,2010-2011
3588,0021001196,200832,Curtis,Blair,74,2010-2011
3589,0021001197,1201,Leon,Wood,40,2010-2011
3590,0021001197,1159,Kevin,Fehr,7,2010-2011
3591,0021001197,1167,Steve,Javie,29,2010-2011
3592,0021001198,2530,Ed,Malloy,14,2010-2011
3593,0021001198,1188,Leroy,Richardson,20,2010-2011
3594,0021001198,2715,Eric,Lewis,42,2010-2011
3595,0021001199,1194,Bill,Spooner,22,2010-2011
3596,0021001199,2005,Matt,Boland,46,2010-2011
3597,0021001199,101283,Brian,Forte,45,2010-2011
3598,0021001200,1162,Scott,Foster,48,2010-2011
3599,0021001200,1363,Bennie,Adams,47,2010-2011
3600,0021001200,1185,Violet,Palmer,12,2010-2011
3601,0021001201,1176,Monty,McCutchen,13,2010-2011
3602,0021001201,2003,Pat,Fraher,52,2010-2011
3603,0021001201,1204,Derek,Richardson,63,2010-2011
3604,0021001202,1195,Derrick,Stafford,9,2010-2011
3605,0021001202,1664,Gary,Zielinski,59,2010-2011
3606,0021001202,1200,Greg,Willard,57,2010-2011
3607,0021001203,1147,Mike,Callahan,24,2010-2011
3608,0021001203,2882,Sean,Wright,65,2010-2011
3609,0021001203,201639,Josh,Tiven,58,2010-2011
3610,0021001204,1174,Ken,Mauer,41,2010-2011
3611,0021001204,2714,David,Guthrie,16,2010-2011
3612,0021001204,2532,Eli,Roe,44,2010-2011
3613,0021001205,2002,Derrick,Collins,11,2010-2011
3614,0021001205,1142,Dick,Bavetta,27,2010-2011
3615,0021001205,201640,Kane,Fitzgerald,35,2010-2011
3616,0021001206,2530,Ed,Malloy,14,2010-2011
3617,0021001206,2715,Eric,Lewis,42,2010-2011
3618,0021001206,201638,Brent,Barnaky,70,2010-2011
3619,0021001207,1830,Marc,Davis,8,2010-2011
3620,0021001207,1201,Leon,Wood,40,2010-2011
3621,0021001207,200834,Mark,Lindsay,53,2010-2011
3622,0021001208,2001,Jason,Phillips,23,2010-2011
3623,0021001208,1153,Joe,Crawford,17,2010-2011
3624,0021001208,2716,Olandis,Poole,50,2010-2011
3625,0021001209,1198,Scott,Wall,31,2010-2011
3626,0021001209,101284,John,Goble,30,2010-2011
