,GID,GAME_ID,LAST_GAME_ID,LAST_GAME_DATE_EST,LAST_GAME_HOME_TEAM_ID,LAST_GAME_HOME_TEAM_CITY,LAST_GAME_HOME_TEAM_NAME,LAST_GAME_HOME_TEAM_ABBREVIATION,LAST_GAME_HOME_TEAM_POINTS,LAST_GAME_VISITOR_TEAM_ID,LAST_GAME_VISITOR_TEAM_CITY,LAST_GAME_VISITOR_TEAM_NAME,LAST_GAME_VISITOR_TEAM_CITY1,LAST_GAME_VISITOR_TEAM_POINTS,SEASON
692,0029100693,0029100693,0029100068,1991-11-09T00:00:00,1610612753,Orlando,Magic,ORL,76,1610612741,Chicago,Bulls,CHI,107,1991-1992
693,0029100694,0029100694,0029100593,1992-02-01T00:00:00,1610612762,Utah,Jazz,UTH,104,1610612742,Dallas,Mavericks,DAL,90,1991-1992
694,0029100695,0029100695,0029100682,1992-02-17T00:00:00,1610612737,Atlanta,Hawks,ATL,117,1610612764,Washington,Bullets,WAS,110,1991-1992
695,0029100696,0029100696,0029100039,1991-11-06T00:00:00,1610612754,Indiana,Pacers,IND,102,1610612758,Sacramento,Kings,SAC,112,1991-1992
696,0029100697,0029100697,0029000652,1991-02-14T00:00:00,1610612744,Golden State,Warriors,GOS,112,1610612738,Boston,Celtics,BOS,128,1991-1992
697,0029100698,0029100698,0029100455,1992-01-11T00:00:00,1610612751,New Jersey,Nets,NJN,88,1610612765,Detroit,Pistons,DET,90,1991-1992
698,0029100699,0029100699,0029100581,1992-01-31T00:00:00,1610612759,San Antonio,Spurs,SAN,103,1610612750,Minnesota,Timberwolves,MIN,101,1991-1992
699,0029100700,0029100700,0029100624,1992-02-05T00:00:00,1610612746,Los Angeles,Clippers,LAC,95,1610612747,Los Angeles,Lakers,LAL,100,1991-1992
700,0029100701,0029100701,0029100170,1991-11-26T00:00:00,1610612766,Charlotte,Hornets,CHH,97,1610612743,Denver,Nuggets,DEN,103,1991-1992
701,0029100702,0029100702,0029100500,1992-01-18T00:00:00,1610612752,New York,Knicks,NYK,106,1610612739,Cleveland,Cavaliers,CLE,108,1991-1992
702,0029100703,0029100703,0029100432,1992-01-08T00:00:00,1610612745,Houston,Rockets,HOU,104,1610612755,Philadelphia,76ers,PHL,114,1991-1992
703,0029100704,0029100704,0029100514,1992-01-20T00:00:00,1610612760,Seattle,SuperSonics,SEA,110,1610612747,Los Angeles,Lakers,LAL,116,1991-1992
704,0029100705,0029100705,0029100483,1992-01-15T00:00:00,1610612749,Milwaukee,Bucks,MIL,115,1610612748,Miami,Heat,MIA,134,1991-1992
705,0029100706,0029100706,0029100331,1991-12-21T00:00:00,1610612764,Washington,Bullets,WAS,117,1610612743,Denver,Nuggets,DEN,102,1991-1992
706,0029100707,0029100707,0029100463,1992-01-11T00:00:00,1610612744,Golden State,Warriors,GOS,118,1610612756,Phoenix,Suns,PHX,130,1991-1992
707,0029100708,0029100708,0029100504,1992-01-18T00:00:00,1610612762,Utah,Jazz,UTH,108,1610612745,Houston,Rockets,HOU,80,1991-1992
