,GID,LEAGUE_ID,TEAM_ID,TEAM_ABBREVIATION,TEAM_CITY,PTS_PAINT,PTS_2ND_CHANCE,PTS_FB,LARGEST_LEAD,LEAD_CHANGES,TIMES_TIED,TEAM_TURNOVERS,TOTAL_TURNOVERS,TEAM_REBOUNDS,PTS_OFF_TO,SEASON
900,0021500451,00,1610612756,PHX,Phoenix,38,26,13,4,9,7,1,15,10,16,2015-2016
901,0021500451,00,1610612755,PHI,Philadelphia,32,15,7,16,9,7,1,22,8,24,2015-2016
902,0021500452,00,1610612762,UTA,Utah,44,15,6,11,6,5,0,16,8,21,2015-2016
903,0021500452,00,1610612746,LAC,LA,30,11,3,10,6,5,1,13,10,12,2015-2016
904,0021500453,00,1610612757,POR,Portland,44,12,9,34,1,1,1,9,10,5,2015-2016
905,0021500453,00,1610612739,CLE,Cleveland,24,6,17,3,1,1,0,17,7,25,2015-2016
906,0021500454,00,1610612752,NYK,New York,44,18,6,3,4,5,0,13,9,14,2015-2016
907,0021500454,00,1610612738,BOS,Boston,44,10,14,15,4,5,0,10,9,6,2015-2016
908,0021500455,00,1610612747,LAL,Los Angeles,28,18,12,0,0,0,2,15,9,21,2015-2016
909,0021500455,00,1610612763,MEM,Memphis,44,4,17,25,0,0,1,11,5,11,2015-2016
910,0021500456,00,1610612760,OKC,Oklahoma City,68,15,22,12,19,9,0,14,7,24,2015-2016
911,0021500456,00,1610612743,DEN,Denver,66,26,11,11,19,9,0,10,3,10,2015-2016
912,0021500457,00,1610612758,SAC,Sacramento,34,13,19,10,16,6,1,23,9,28,2015-2016
913,0021500457,00,1610612757,POR,Portland,38,18,9,8,16,6,0,18,6,21,2015-2016
914,0021500458,00,1610612747,LAL,Los Angeles,44,8,17,3,21,13,1,12,11,17,2015-2016
915,0021500458,00,1610612766,CHA,Charlotte,54,10,23,11,21,13,1,11,8,10,2015-2016
916,0021500459,00,1610612754,IND,Indiana,52,14,14,12,2,9,1,15,12,10,2015-2016
917,0021500459,00,1610612737,ATL,Atlanta,42,15,10,10,2,9,2,22,10,26,2015-2016
918,0021500460,00,1610612740,NOP,New Orleans,44,12,8,4,6,5,0,13,6,13,2015-2016
919,0021500460,00,1610612753,ORL,Orlando,58,7,0,18,6,5,2,11,7,16,2015-2016
920,0021500461,00,1610612746,LAC,LA,38,7,10,26,0,0,0,16,12,16,2015-2016
921,0021500461,00,1610612764,WAS,Washington,36,19,15,0,0,0,1,17,10,16,2015-2016
922,0021500462,00,1610612751,BKN,Brooklyn,42,27,4,11,6,4,0,13,9,15,2015-2016
923,0021500462,00,1610612748,MIA,Miami,48,15,9,16,6,4,0,14,3,11,2015-2016
924,0021500463,00,1610612741,CHI,Chicago,40,11,12,14,11,4,1,11,11,12,2015-2016
925,0021500463,00,1610612761,TOR,Toronto,46,9,21,9,11,4,0,7,8,9,2015-2016
926,0021500464,00,1610612749,MIL,Milwaukee,40,12,10,0,0,1,1,18,6,26,2015-2016
927,0021500464,00,1610612742,DAL,Dallas,46,11,19,13,0,1,0,4,6,0,2015-2016
928,0021500465,00,1610612750,MIN,Minnesota,46,7,10,12,11,15,0,15,12,22,2015-2016
929,0021500465,00,1610612759,SAS,San Antonio,48,12,11,9,11,15,1,17,14,16,2015-2016
930,0021500466,00,1610612739,CLE,Cleveland,26,9,7,11,6,4,0,17,4,19,2015-2016
931,0021500466,00,1610612756,PHX,Phoenix,40,16,10,3,6,4,0,16,9,23,2015-2016
932,0021500467,00,1610612762,UTA,Utah,24,17,11,21,4,6,4,19,14,22,2015-2016
933,0021500467,00,1610612755,PHI,Philadelphia,52,19,3,4,3,6,0,18,11,19,2015-2016
934,0021500468,00,1610612744,GSW,Golden State,42,9,30,22,4,6,0,18,5,21,2015-2016
935,0021500468,00,1610612758,SAC,Sacramento,36,10,31,11,4,6,1,15,12,22,2015-2016
936,0021500469,00,1610612765,DET,Detroit,36,13,8,7,1,2,0,10,13,13,2015-2016
937,0021500469,00,1610612752,NYK,New York,46,16,14,18,1,2,0,10,8,8,2015-2016
938,0021500470,00,1610612745,HOU,Houston,46,11,10,19,5,7,1,20,11,33,2015-2016
939,0021500470,00,1610612737,ATL,Atlanta,50,13,16,6,6,8,0,12,4,22,2015-2016
940,0021500471,00,1610612763,MEM,Memphis,52,17,2,9,12,9,2,10,7,17,2015-2016
941,0021500471,00,1610612748,MIA,Miami,38,14,5,7,12,9,1,15,12,15,2015-2016
942,0021500472,00,1610612760,OKC,Oklahoma City,56,21,15,17,2,3,1,12,5,13,2015-2016
943,0021500472,00,1610612749,MIL,Milwaukee,58,19,20,8,2,3,0,14,11,19,2015-2016
944,0021500473,00,1610612743,DEN,Denver,48,12,14,2,2,2,0,18,9,26,2015-2016
945,0021500473,00,1610612739,CLE,Cleveland,44,9,16,15,2,2,0,12,7,15,2015-2016
946,0021500474,00,1610612766,CHA,Charlotte,48,25,21,0,0,0,0,11,10,15,2015-2016
947,0021500474,00,1610612746,LAC,LA,32,12,13,12,0,0,1,13,5,10,2015-2016
948,0021500475,00,1610612751,BKN,Brooklyn,42,13,15,13,8,7,0,12,5,15,2015-2016
949,0021500475,00,1610612753,ORL,Orlando,42,17,5,7,9,7,1,17,6,20,2015-2016
950,0021500476,00,1610612747,LAL,Los Angeles,46,14,17,14,9,8,0,10,6,9,2015-2016
951,0021500476,00,1610612738,BOS,Boston,52,11,15,8,9,8,0,10,8,12,2015-2016
952,0021500477,00,1610612761,TOR,Toronto,34,21,12,14,2,1,2,18,10,18,2015-2016
953,0021500477,00,1610612764,WAS,Washington,32,6,18,3,2,1,0,10,8,16,2015-2016
954,0021500478,00,1610612754,IND,Indiana,42,23,13,7,12,15,1,13,9,18,2015-2016
955,0021500478,00,1610612741,CHI,Chicago,42,26,4,14,12,15,1,22,11,27,2015-2016
956,0021500479,00,1610612762,UTA,Utah,30,13,10,1,2,1,0,19,9,17,2015-2016
957,0021500479,00,1610612750,MIN,Minnesota,38,14,17,16,2,1,2,12,9,9,2015-2016
958,0021500480,00,1610612742,DAL,Dallas,46,23,21,30,3,3,0,15,5,18,2015-2016
959,0021500480,00,1610612744,GSW,Golden State,26,14,18,2,3,3,0,12,4,21,2015-2016
960,0021500481,00,1610612756,PHX,Phoenix,38,14,11,2,1,1,0,15,9,20,2015-2016
961,0021500481,00,1610612759,SAS,San Antonio,42,8,11,38,1,1,0,13,12,15,2015-2016
962,0021500482,00,1610612743,DEN,Denver,32,10,7,4,9,3,0,14,5,21,2015-2016
963,0021500482,00,1610612757,POR,Portland,34,13,10,16,9,3,1,15,6,18,2015-2016
964,0021500483,00,1610612758,SAC,Sacramento,38,13,18,9,14,9,0,22,15,28,2015-2016
965,0021500483,00,1610612755,PHI,Philadelphia,50,12,19,12,14,9,0,13,7,10,2015-2016
966,0021500484,00,1610612749,MIL,Milwaukee,58,8,22,17,6,3,1,17,8,16,2015-2016
967,0021500484,00,1610612754,IND,Indiana,44,14,24,3,6,3,1,20,12,35,2015-2016
968,0021500485,00,1610612744,GSW,Golden State,48,12,16,12,3,9,0,18,11,25,2015-2016
